ID number,Smyrna #,p. #,,City,,,,,Drawing Category,Caption for Graffito,Latin Description of Figural Graffito,English Description of Figural Graffito,Writing Style
SMYT00293,T29.3,294,,Smyrna,,,,,,,,,Carbone
SMYT00294,T29.4,295,,Smyrna,,,,,,,,,Carbone
SMYT00295,T29.5,297,,Smyrna,,,,,,,,,Carbone
SMYT00296,T29.6,298,,Smyrna,,,,,,,,,Carbone
SMYT00297,T29.7,299,,Smyrna,,,,,,,,,Carbone
SMYT00298,T29.8,300,,Smyrna,,,,,,,,,Carbone
SMYD00291,D29.1,301,,Smyrna,,,,,Gladiators,Drawing of a gladiator,"((:gladiator cum scuto et ferro et palo ad dext., provocator))","((:gladiator with shield and sword and prop, provocator))",Carbone
SMYD00292,D29.2,302,,Smyrna,,,,,Other,Drawing of a venatio,((:venatio)),((:hunt)),Pictura
SMYD00293,D29.3,304,,Smyrna,,,,,Human figures,Drawing of a face,((:caput hominis)),((:head of person)),Carbone
SMYD00294,D29.4,305,,Smyrna,,,,,Human figures,Drawing of a stick figure,((:figura hominis)),((:figure of person)),Carbone
SMYD00295,D29.5,306,,Smyrna,,,,,Human figures,Drawing of a face,((:duo capita hominum ad sin.)),((:heads of people facing left)),Carbone
SMYD00296,D29.6,307,,Smyrna,,,,,Gladiators,Drawing of a gladiator,((:gladiator cum scuto et corona)),((:gladiator with shield and wreath)),Carbone
SMYD00297,D29.7,308,,Smyrna,,,,,Erotic images,Drawing of a phallus,((:phallus)),((:phallus)),Carbone
SMYD00298,D29.8,309,,Smyrna,,,,,Other,Drawing of a venatio - detail of bird,((:avis)),((:bird)),Carbone
SMYD00299,D29.9,310,,Smyrna,,,,,Animals ,Drawing of a bird,((:avis)),((:bird)),Carbone
SMYD02910,D29.10,311,,Smyrna,,,,,Animals ,Drawing of a bird,((:avis)),((:bird)),Carbone
SMYD02911,D29.11,312,,Smyrna,,,,,Gladiators; Plants,Drawing of a gladiator and palm branches,((:gladiator cum palmis)),((:gladiator with palm branches)),Carbone
SMYD02912,D29.12,314,,Smyrna,,,,,Erotic images,Drawing of a phallus,((:phallus)),((:phallus)),Carbone
SMYD02913,D29.13,315,,Smyrna,,,,,Other,Drawing of a venatio,((:venatio))),((:hunt)),Carbone
SMYT00301,T.30.1,316,,Smyrna,,,,,,,,,pictura
SMYT00302,T.30.2,317,,Smyrna,,,,,,,,,pictura
SMYD00301,D30.1,318,,Smyrna,,,,,Animals,Drawing of a large feline,"((:feles magna, leo?))","((:large feline, lion?))",Carbone
SMYD00302,D30.2,319,,Smyrna,,,,,Other,Uncertain / Drawing of elephant?,((:elephantus)),((:elephant)),Carbone
SMYD00311,D31.1,321,,Smyrna,,,,,Boats,Drawing of a boat,((:navis)),((:boat)),Carbone
SMYDP0431,DP43.1,322,,Smyrna,,,,,Boats,Drawing of a boat,((:navis)),((:boat)),Litt. Scariph.
SMYDP0432,DP43.2,323,,Smyrna,,,,,Plants,Drawing of a palm branch,((:palma)),((:palm branch)),Pictura
SMYDP0433,DP43.3,324,,Smyrna,,,,,Other ,Drawing of uncertain image,((:imago incerta)),((:drawing unclear)),Carbone
SMYT00321,T32.1,326,,Smyrna,,,,,,,,,Carbone
SMYT00322,T32.2,328,,Smyrna,,,,,,,,,Carbone
SMYD00321,D32.1,329,,Smyrna,,,,,Boats,Drawing of a boat,((:navis)),((:boat)),Carbone
SMYD00322,D32.2,330,,Smyrna,,,,,Boats,Drawing of a boat,((:navis)),((:boats)),Carbone
